rollcall,voter_id,name,party,coalition,vote
3203,85,Marco Maciel,DEM,0,0
3203,33,Fernando Bezerra,PTB,1,1
3203,57,José Agripino,DEM,0,1
3203,48,Heráclito Fortes,DEM,0,1
3203,73,Leomar Quintanilha,PMDB,1,1
3203,27,Edison Lobão,PMDB,1,1
3203,112,Renan Calheiros,PMDB,1,1
3203,120,Romeu Tuma,PTB,1,1
3203,13,Antonio Carlos Magalhães,PFL,0,1
3203,107,Pedro Simon,PMDB,1,1
3203,105,Paulo Paim,PT,1,1
3203,119,Romero Jucá,PMDB,1,1
3203,30,Eduardo Suplicy,PT,1,1
3203,54,Jonas Pinheiro,DEM,0,1
3203,109,Reginaldo Duarte,PSDB,0,1
3203,31,Efraim Morais,DEM,0,1
3203,7,Aloizio Mercadante,PT,1,1
3203,81,Lúcia Vânia,PSDB,0,1
3203,131,Teotonio Vilela Filho,PSDB,0,1
3203,35,Flávio Arns,PSDB,0,1
3203,47,Heloísa Helena,PSOL,0,1
3203,78,Luiz Otavio,PMDB,1,1
3203,55,Jorge Bornhausen,PFL,0,0
3203,65,João Alberto Souza,PMDB,1,1
3203,133,Tião Viana,PT,1,0
3203,61,José Jorge,PFL,0,1
3203,4,Alberto Silva,PMDB,1,1
3203,8,Alvaro Dias,PSDB,0,1
3203,87,Maria do Carmo Alves,PFL,0,1
3203,29,Eduardo Siqueira Campos,PSDB,0,1
3203,116,Roberto Saturnino,PT,1,1
3203,72,Juvêncio da Fonseca,PSDB,0,1
3203,11,Antero Paes de Barros,PSDB,0,1
3203,98,Osmar Dias,PDT,0,1
3203,94,Ney Suassuna,PMDB,1,1
3203,14,Antonio Carlos Valadares,PSB,1,1
3203,49,Hélio Costa,PMDB,1,1
3203,135,Valmir Amaral,PP,1,1
3203,6,Almeida Lima,PMDB,1,1
3203,50,Ideli Salvatti,PT,1,1
3203,126,Sibá Machado,PT,1,1
3203,37,Francisco Pereira,PL,0,1
3203,69,João Ribeiro,PFL,0,1
3203,104,Paulo Octávio,PFL,0,1
3203,108,Ramez Tebet,PMDB,1,1
3203,67,João Capiberibe,PSB,1,1
3203,129,Tasso Jereissati,PSDB,0,1
3203,100,Patrícia Saboya,PDT,0,1
3203,25,Demóstenes Torres,DEM,0,1
3203,134,Valdir Raupp,PMDB,1,1
3203,41,Geraldo Mesquita Júnior,PMDB,1,0
3203,28,Eduardo Azeredo,PSDB,0,1
3203,84,Marcelo Crivella,PL,0,1
3203,2,Aelton Freitas,Sem partido,0,1
3203,22,César Borges,PR,0,1
3203,74,Leonel Pavan,PSDB,0,1
3203,24,Delcídio do Amaral,PT,1,1
3203,125,Serys Slhessarenko,PT,1,1
3203,66,João Batista Motta,PSDB,0,0
3203,128,Sérgio Zambiasi,PTB,1,1
3203,18,Arthur Virgílio,PSDB,0,1
3203,121,Roseana Sarney,PMDB,1,0
3203,118,Rodolpho Tourinho,PFL,0,1
3203,127,Sérgio Cabral,PMDB,1,1
3203,19,Augusto Botelho,PDT,0,1
3203,21,Cristovam Buarque,PDT,0,1
3203,38,Fátima Cleide,PT,1,1
3203,39,Garibaldi Alves Filho,PMDB,1,1
3203,92,Mão Santa,PSC,0,1
3203,90,Mozarildo Cavalcanti,PTB,1,1
3203,99,Papaléo Paes,PSDB,0,1
3203,124,Sergio Guerra,PSDB,0,1
3203,34,Flexa Ribeiro,PSDB,0,1
3224,85,Marco Maciel,DEM,0,0
3224,33,Fernando Bezerra,PTB,1,1
3224,57,José Agripino,DEM,0,-1
3224,48,Heráclito Fortes,DEM,0,-1
3224,73,Leomar Quintanilha,PMDB,1,1
3224,27,Edison Lobão,PMDB,1,1
3224,112,Renan Calheiros,PMDB,1,0
3224,120,Romeu Tuma,PTB,1,-1
3224,13,Antonio Carlos Magalhães,PFL,0,-1
3224,42,Gerson Camata,PMDB,1,1
3224,107,Pedro Simon,PMDB,1,1
3224,105,Paulo Paim,PT,1,1
3224,119,Romero Jucá,PMDB,1,1
3224,30,Eduardo Suplicy,PT,1,1
3224,54,Jonas Pinheiro,DEM,0,-1
3224,109,Reginaldo Duarte,PSDB,0,1
3224,7,Aloizio Mercadante,PT,1,1
3224,81,Lúcia Vânia,PSDB,0,1
3224,131,Teotonio Vilela Filho,PSDB,0,1
3224,47,Heloísa Helena,PSOL,0,-1
3224,78,Luiz Otavio,PMDB,1,1
3224,55,Jorge Bornhausen,PFL,0,0
3224,65,João Alberto Souza,PMDB,1,1
3224,133,Tião Viana,PT,1,1
3224,61,José Jorge,PFL,0,0
