rollcall,id,name,party,coalition,vote
4717,168,José Sarney,PMDB,1,A
4717,85,Marco Maciel,DEM,0,N
4717,57,José Agripino,DEM,0,N
4717,48,Heráclito Fortes,DEM,0,N
4717,73,Leomar Quintanilha,PMDB,1,Y
4717,27,Edison Lobão,PMDB,1,Y
4717,112,Renan Calheiros,PMDB,1,Y
4717,120,Romeu Tuma,PTB,1,Y
4717,42,Gerson Camata,PMDB,1,A
4717,88,Marina Silva,PV,0,A
4717,181,Pedro Simon,Sem partido,0,Y
4717,105,Paulo Paim,PT,1,Y
4717,119,Romero Jucá,PMDB,1,Y
4717,154,Eduardo Suplicy,Sem partido,0,Y
4717,31,Efraim Morais,DEM,0,N
4717,7,Aloizio Mercadante,PT,1,Y
4717,12,Antonio Carlos Júnior,DEM,0,N
4717,176,Marisa Serrano,PMDB,1,N
4717,163,Inácio Arruda,PCdoB,1,Y
4717,81,Lúcia Vânia,PSDB,0,N
4717,46,Gilvam Borges,PMDB,1,Y
4717,89,Mauro Fecury,PMDB,1,Y
4717,35,Flávio Arns,PSDB,0,N
4717,187,Tião Viana,PT,1,Y
4717,144,Alvaro Dias,PMDB,1,N
4717,160,Francisco Dornelles,PP,1,N
4717,14,Antonio Carlos Valadares,PSB,1,Y
4717,82,Magno Malta,PR,0,N
4717,49,Hélio Costa,PMDB,1,Y
4717,172,Kátia Abreu,PPB,0,N
4717,162,Gim,PTB,1,Y
4717,6,Almeida Lima,PMDB,1,Y
4717,50,Ideli Salvatti,PT,1,Y
4717,69,João Ribeiro,PFL,0,Y
4717,129,Tasso Jereissati,PSDB,0,N
4717,100,Patrícia Saboya,PDT,0,N
4717,25,Demóstenes Torres,DEM,0,N
4717,134,Valdir Raupp,PMDB,1,Y
4717,41,Geraldo Mesquita Júnior,PMDB,1,N
4717,28,Eduardo Azeredo,PSDB,0,N
4717,84,Marcelo Crivella,PL,0,Y
4717,22,César Borges,PR,0,Y
4717,24,Delcídio do Amaral,PT,1,Y
4717,125,Serys Slhessarenko,PT,1,Y
4717,128,Sérgio Zambiasi,PTB,1,Y
4717,18,Arthur Virgílio,PSDB,0,N
4717,93,Neuto De Conto,PMDB,1,Y
4717,1,Adelmir Santana,DEM,0,N
4717,63,José Nery,PSOL,0,Y
4717,101,Paulo Duque,PMDB,1,Y
4717,183,Renato Casagrande,PSB,1,N
4717,19,Augusto Botelho,PDT,0,Y
4717,21,Cristovam Buarque,PDT,0,Y
4717,38,Fátima Cleide,PT,1,Y
4717,39,Garibaldi Alves Filho,PMDB,1,Y
4717,92,Mão Santa,PSC,0,N
4717,99,Papaléo Paes,PSDB,0,N
4717,124,Sergio Guerra,PSDB,0,N
4717,34,Flexa Ribeiro,PSDB,0,N
4717,115,Roberto Cavalcanti,PRB,0,Y
4717,159,Fernando Collor,PTB,1,Y
4717,143,Alfredo Nascimento,PR,0,Y
4717,153,Cícero Lucena,PSDB,0,N
4717,166,Jayme Campos,DEM,0,N
4717,174,Marconi Perillo,PST,0,N
4717,178,Mário Couto,PSDB,0,N
4717,171,João Vicente Claudino,PTB,1,A
4717,184,Rosalba Ciarlini,PDT,0,N
4717,165,Jarbas Vasconcelos,PMDB,1,N
4717,136,Valter Pereira,PMDB,1,Y
4717,56,Jorge Yanai,DEM,0,N
4717,53,Jefferson Praia,PDT,0,Y
4717,141,Acir Gurgacz,PDT,0,Y
4718,168,José Sarney,PMDB,1,A
4718,85,Marco Maciel,DEM,0,Y
4718,57,José Agripino,DEM,0,Y
4718,48,Heráclito Fortes,DEM,0,Y
4718,73,Leomar Quintanilha,PMDB,1,N
4718,27,Edison Lobão,PMDB,1,N
4718,112,Renan Calheiros,PMDB,1,N
4718,120,Romeu Tuma,PTB,1,Y
4718,42,Gerson Camata,PMDB,1,N
4718,88,Marina Silva,PV,0,A
4718,181,Pedro Simon,Sem partido,0,Y
4718,105,Paulo Paim,PT,1,Y
4718,119,Romero Jucá,PMDB,1,N
4718,154,Eduardo Suplicy,Sem partido,0,N
4718,31,Efraim Morais,DEM,0,Y
4718,7,Aloizio Mercadante,PT,1,N
4718,12,Antonio Carlos Júnior,DEM,0,Y
4718,176,Marisa Serrano,PMDB,1,Y
4718,163,Inácio Arruda,PCdoB,1,N
4718,81,Lúcia Vânia,PSDB,0,Y
4718,46,Gilvam Borges,PMDB,1,N
4718,89,Mauro Fecury,PMDB,1,N
4718,35,Flávio Arns,PSDB,0,Y
4718,187,Tião Viana,PT,1,N
4718,144,Alvaro Dias,PMDB,1,Y
4718,160,Francisco Dornelles,PP,1,N
4718,14,Antonio Carlos Valadares,PSB,1,N
4718,82,Magno Malta,PR,0,N
4718,49,Hélio Costa,PMDB,1,Y
4718,172,Kátia Abreu,PPB,0,Y
4718,162,Gim,PTB,1,N
4718,6,Almeida Lima,PMDB,1,N
4718,50,Ideli Salvatti,PT,1,N
4718,69,João Ribeiro,PFL,0,Y
4718,129,Tasso Jereissati,PSDB,0,Y
4718,100,Patrícia Saboya,PDT,0,Y
4718,25,Demóstenes Torres,DEM,0,Y
4718,134,Valdir Raupp,PMDB,1,N
4718,41,Geraldo Mesquita Júnior,PMDB,1,Y
4718,28,Eduardo Azeredo,PSDB,0,Y
4718,84,Marcelo Crivella,PL,0,N
4718,22,César Borges,PR,0,Y
4718,24,Delcídio do Amaral,PT,1,N
4718,125,Serys Slhessarenko,PT,1,N
4718,128,Sérgio Zambiasi,PTB,1,Y
4718,18,Arthur Virgílio,PSDB,0,Y
4718,93,Neuto De Conto,PMDB,1,Y
4718,1,Adelmir Santana,DEM,0,Y
4718,63,José Nery,PSOL,0,Y
4718,101,Paulo Duque,PMDB,1,N
4718,183,Renato Casagrande,PSB,1,N
4718,19,Augusto Botelho,PDT,0,N
4718,21,Cristovam Buarque,PDT,0,Y
4718,38,Fátima Cleide,PT,1,N
4718,92,Mão Santa,PSC,0,Y
4718,99,Papaléo Paes,PSDB,0,Y
4718,124,Sergio Guerra,PSDB,0,Y
4718,34,Flexa Ribeiro,PSDB,0,Y
4718,115,Roberto Cavalcanti,PRB,0,N
4718,159,Fernando Collor,PTB,1,N
4718,143,Alfredo Nascimento,PR,0,Y
4718,153,Cícero Lucena,PSDB,0,Y
4718,166,Jayme Campos,DEM,0,Y
4718,174,Marconi Perillo,PST,0,Y
4718,178,Mário Couto,PSDB,0,Y
4718,171,João Vicente Claudino,PTB,1,A
4718,184,Rosalba Ciarlini,PDT,0,Y
4718,165,Jarbas Vasconcelos,PMDB,1,Y
4718,136,Valter Pereira,PMDB,1,Y
4718,56,Jorge Yanai,DEM,0,Y
4718,53,Jefferson Praia,PDT,0,Y
4718,141,Acir Gurgacz,PDT,0,N
4719,168,José Sarney,PMDB,1,A
4719,57,José Agripino,DEM,0,A
4719,48,Heráclito Fortes,DEM,0,A
4719,73,Leomar Quintanilha,PMDB,1,Y
4719,27,Edison Lobão,PMDB,1,Y
4719,112,Renan Calheiros,PMDB,1,Y
4719,120,Romeu Tuma,PTB,1,Y
4719,42,Gerson Camata,PMDB,1,Y
4719,88,Marina Silva,PV,0,A
4719,181,Pedro Simon,Sem partido,0,Y
4719,105,Paulo Paim,PT,1,Y
4719,119,Romero Jucá,PMDB,1,Y
4719,154,Eduardo Suplicy,Sem partido,0,Y
4719,7,Aloizio Mercadante,PT,1,Y
4719,12,Antonio Carlos Júnior,DEM,0,N
4719,163,Inácio Arruda,PCdoB,1,Y
4719,46,Gilvam Borges,PMDB,1,Y
4719,89,Mauro Fecury,PMDB,1,Y
4719,187,Tião Viana,PT,1,Y
4719,160,Francisco Dornelles,PP,1,Y
4719,14,Antonio Carlos Valadares,PSB,1,Y
4719,82,Magno Malta,PR,0,Y
4719,172,Kátia Abreu,PPB,0,A
4719,162,Gim,PTB,1,Y
4719,6,Almeida Lima,PMDB,1,Y
4719,50,Ideli Salvatti,PT,1,Y
4719,69,João Ribeiro,PFL,0,Y
4719,129,Tasso Jereissati,PSDB,0,A
4719,100,Patrícia Saboya,PDT,0,Y
4719,25,Demóstenes Torres,DEM,0,N
4719,134,Valdir Raupp,PMDB,1,Y
4719,41,Geraldo Mesquita Júnior,PMDB,1,N
4719,84,Marcelo Crivella,PL,0,Y
4719,22,César Borges,PR,0,Y
4719,24,Delcídio do Amaral,PT,1,Y
4719,125,Serys Slhessarenko,PT,1,Y
4719,128,Sérgio Zambiasi,PTB,1,Y
4719,18,Arthur Virgílio,PSDB,0,A
4719,93,Neuto De Conto,PMDB,1,Y
4719,1,Adelmir Santana,DEM,0,N
4719,63,José Nery,PSOL,0,Y
4719,101,Paulo Duque,PMDB,1,Y
4719,183,Renato Casagrande,PSB,1,Y
4719,19,Augusto Botelho,PDT,0,Y
4719,21,Cristovam Buarque,PDT,0,Y
4719,38,Fátima Cleide,PT,1,Y
4719,39,Garibaldi Alves Filho,PMDB,1,Y
4719,92,Mão Santa,PSC,0,Y
4719,34,Flexa Ribeiro,PSDB,0,Y
4719,115,Roberto Cavalcanti,PRB,0,Y
4719,159,Fernando Collor,PTB,1,Y
4719,143,Alfredo Nascimento,PR,0,Y
4719,153,Cícero Lucena,PSDB,0,A
4719,166,Jayme Campos,DEM,0,Y
4719,178,Mário Couto,PSDB,0,N
4719,171,João Vicente Claudino,PTB,1,A
4719,184,Rosalba Ciarlini,PDT,0,Y
4719,165,Jarbas Vasconcelos,PMDB,1,N
4719,136,Valter Pereira,PMDB,1,Y
4719,56,Jorge Yanai,DEM,0,Y
4719,53,Jefferson Praia,PDT,0,Y
4719,141,Acir Gurgacz,PDT,0,Y
