# Arquivo gerado pela classe ProposicoesFinder
# para achar as proposições da camara dos deputados
# que possuem votacoes.
# id  : proposicao
#-----------
180174: PL 643/1988
20004: PL 3657/1989
21306: PLP 1/1991
25468: PL 2942/1992
20846: PL 4376/1993
14373: PEC 96/1992
24979: PEC 169/1993
21571: PLP 168/1993
15471: PL 451/1995
14541: PEC 203/1995
14425: PEC 128/1995
24970: PEC 82/1995
18480: PL 2681/1996
18454: PL 2660/1996
25396: PL 2514/1996
17146: PL 1733/1996
24993: PEC 407/1996
14720: PEC 347/1996
14694: PEC 308/1996
216971: PL 3901/1997
38107: PL 3769/1997
25586: PL 3651/1997
41086: PL 3599/1997
25533: PL 3310/1997
19125: PL 3115/1997
40925: PL 3066/1997
18886: PL 2961/1997
208355: PL 2960/1997
20125: PL 3731/1997
38099: PL 2737/1997
25003: PEC 526/1997
25000: PEC 498/1997
14809: PEC 536/1997
21585: PLP 187/1997
38101: PLP 149/1997
38139: PL 4767/1998
38141: PL 4812/1998
224196: PL 4769/1998
38138: PL 4736/1998
38137: PL 4694/1998
38136: PL 4693/1998
21063: PL 4695/1998
38135: PL 4690/1998
20969: PL 4572/1998
38127: PL 4224/1998
25633: PL 4155/1998
38162: PL 4811/1998
14049: PDC 658/1998
25009: PEC 627/1998
25008: PEC 626/1998
25007: PEC 601/1998
14848: PEC 610/1998
14832: PEC 575/1998
21611: PLP 242/1998
21616: PLP 248/1998
25762: PLP 220/1998
40855: PLP 250/1998
17715: PL 2155/1999
17338: PL 1876/1999
38170: PL 1699/1999
16976: PL 1615/1999
38169: PL 1617/1999
38167: PL 1527/1999
16713: PL 1428/1999
16176: PL 1037/1999
38161: PL 934/1999
38158: PL 755/1999
25134: PL 787/1999
15824: PL 752/1999
38155: PL 621/1999
38149: PL 88/1999
40635: PL 4895/1999
38147: PL 4898/1999
13749: PDC 381/1999
40841: PDC 341/1999
24889: PDC 240/1999
13610: PDC 233/1999
168217: PDC 186/1999
14312: PEC 53/1999
14271: PEC 22/1999
24964: PEC 33/1999
14245: PEC 3/1999
25747: PLP 90/1999
233725: PLP 83/1999
25745: PLP 77/1999
24959: PEC 7/1999
21391: PLP 52/1999
21400: PLP 59/1999
21344: PLP 23/1999
24971: PEC 85/1999
38156: PLP 24/1999
25011: PEC 637/1999
21320: PLP 8/1999
38154: PLP 18/1999
21322: PLP 10/1999
21321: PLP 9/1999
25605: PL 3837/2000
20162: PL 3755/2000
25596: PL 3756/2000
19978: PL 3639/2000
19804: PL 3524/2000
19706: PL 3464/2000
19377: PL 3267/2000
19333: PL 3242/2000
25518: PL 3156/2000
25403: PL 2549/2000
14692: PEC 306/2000
14665: PEC 289/2000
14647: PEC 277/2000
14641: PEC 272/2000
14614: PEC 254/2000
169561: PEC 249/2000
21551: PLP 155/2000
14570: PEC 222/2000
21486: PLP 116/2000
25753: PLP 114/2000
25752: PLP 113/2000
33846: PL 5470/2001
33868: PL 5483/2001
34462: PL 5403/2001
31767: PL 5073/2001
26694: PL 4285/2001
26553: PL 4203/2001
26551: PL 4210/2001
26378: PL 4177/2001
26352: PL 4143/2001
44740: MPV 16/2001
20588: PL 3998/2001
44311: MPV 15/2001
41618: MPV 11/2001
37642: MPV 7/2001
44297: MPV 14/2001
36162: PEC 438/2001
28376: PEC 349/2001
32428: PEC 407/2001
32147: PLP 224/2001
43617: PLP 275/2001
26523: PLP 183/2001
26057: PLP 177/2001
27191: PLP 195/2001
66837: PL 7136/2002
51232: PL 6770/2002
105490: MPV 94/2002
105445: MPV 86/2002
102704: MPV 80/2002
69840: MPV 66/2002
104934: MPV 82/2002
102569: MPV 79/2002
89577: MPV 70/2002
65213: MPV 44/2002
44963: MPV 26/2002
44958: MPV 22/2002
59119: PEC 559/2002
97884: PEC 574/2002
56373: PEC 548/2002
54307: PEC 544/2002
98814: PLP 347/2002
101666: PLP 352/2002
100739: PLP 349/2002
144047: PL 2546/2003
140174: PL 2399/2003
140375: PL 2401/2003
132375: PL 1936/2003
130914: PL 1840/2003
125878: PL 1555/2003
124899: PL 1503/2003
117570: PL 1144/2003
116897: PL 1083/2003
116898: PL 1084/2003
112893: PL 836/2003
107630: PL 475/2003
104464: PL 58/2003
149101: MPV 148/2003
148770: MPV 143/2003
150373: MPV 160/2003
149109: MPV 141/2003
143020: MPV 136/2003
149095: MPV 147/2003
145549: MPV 140/2003
150358: MPV 154/2003
150359: MPV 155/2003
139375: MPV 133/2003
135255: MPV 131/2003
148775: MPV 144/2003
147818: MPV 139/2003
133825: MPV 129/2003
138604: MPV 132/2003
150357: MPV 153/2003
133827: MPV 130/2003
124116: MPV 122/2003
140406: MPV 135/2003
112202: MPV 117/2003
112203: MPV 118/2003
126040: MPV 124/2003
111346: MPV 114/2003
121433: MPV 120/2003
127970: MPV 125/2003
124115: MPV 121/2003
127989: MPV 126/2003
112201: MPV 116/2003
105506: MPV 106/2003
105503: MPV 103/2003
105504: MPV 104/2003
105507: MPV 107/2003
106616: PDC 13/2003
142458: PEC 199/2003
131591: PEC 153/2003
120186: PEC 101/2003
129219: PEC 138/2003
114145: PEC 47/2003
126143: PLP 73/2003
106071: PEC 7/2003
119684: PLP 58/2003
126541: PLP 76/2003
115155: PLP 41/2003
104885: PLP 12/2003
109175: PLP 22/2003
125572: PLP 72/2003
113716: PEC 40/2003
104342: PLP 1/2003
113717: PEC 41/2003
272315: PL 4591/2004
272058: PL 4559/2004
271219: PL 4529/2004
269767: PL 4428/2004
264293: PL 4125/2004
260404: PL 3937/2004
254614: PL 3627/2004
251745: PL 3476/2004
153275: PL 2944/2004
274634: MPV 231/2004
274653: MPV 232/2004
274654: MPV 233/2004
270567: MPV 225/2004
272146: MPV 227/2004
265572: MPV 219/2004
272914: MPV 228/2004
261463: MPV 206/2004
262712: MPV 208/2004
261022: MPV 201/2004
259289: MPV 194/2004
259400: MPV 195/2004
260950: MPV 200/2004
262198: MPV 207/2004
159554: MPV 179/2004
158197: MPV 177/2004
257781: MPV 191/2004
154539: MPV 169/2004
251072: MPV 182/2004
151648: MPV 161/2004
154538: MPV 168/2004
154465: MPV 166/2004
258595: MPV 192/2004
260897: MPV 198/2004
153730: MPV 165/2004
259613: MPV 196/2004
251120: MPV 183/2004
154528: MPV 167/2004
252972: PDC 1274/2004
269852: PEC 333/2004
256022: PEC 285/2004
274311: PLP 230/2004
150410: PEC 228/2004
270010: PLP 217/2004
255794: PLP 182/2004
258267: PLP 188/2004
150399: PEC 227/2004
257126: PLP 184/2004
253010: PLP 177/2004
150559: PLP 123/2004
307925: PL 6272/2005
298607: PL 5829/2005
298990: PL 5855/2005
297881: PL 5800/2005
292328: PL 5524/2005
284827: PL 5186/2005
279543: PL 4955/2005
275322: PL 4776/2005
311012: MPV 272/2005
308633: MPV 268/2005
304792: MPV 264/2005
311025: MPV 273/2005
307822: MPV 267/2005
298221: MPV 260/2005
289945: MPV 251/2005
294428: MPV 257/2005
292729: MPV 255/2005
294427: MPV 256/2005
280978: MPV 245/2005
311031: MPV 275/2005
294430: MPV 259/2005
284567: MPV 249/2005
290460: MPV 252/2005
310833: MPV 269/2005
286611: MPV 250/2005
279507: MPV 242/2005
282740: MPV 248/2005
309954: PDC 2075/2005
277133: MPV 241/2005
294429: MPV 258/2005
304008: PEC 471/2005
307814: PEC 483/2005
290450: PEC 413/2005
290677: PEC 416/2005
293027: PLP 277/2005
284448: PLP 244/2005
285867: PLP 249/2005
339302: PL 7701/2006
339409: PL 7703/2006
335937: PL 7569/2006
327896: PL 7225/2006
339630: MPV 338/2006
