[pec 98/2007]: Conhecida como PEC da Música. Altera a Constituição Federal de 1988. 
Ementa: Acrescenta a alínea "e" ao inciso VI do art. 150 da Constituição Federal, instituindo imunidade tributária sobre os Fonogramas e Videofonogramas musicais produzidos no Brasil, contendo obras musicais ou lítero-musicais de autores brasileiros, e/ou obras em geral interpretadas por artistas brasileiros, bem como os suportes materiais ou arquivos digitais que os contenham. 
Situação: MESA - Aguardando Retorno 
************
[29/11/2011, 19:02] Rejeitado o Requerimento. Sim: 27; não: 306; abstenção: 01; total: 334.
PCdoB: 	 Sim: 0 	 Não: 11 	 Abstenções: 0
DEM: 	 Sim: 2 	 Não: 15 	 Abstenções: 0
PMDB: 	 Sim: 1 	 Não: 48 	 Abstenções: 0
PR: 	 Sim: 4 	 Não: 20 	 Abstenções: 0
PP: 	 Sim: 14 	 Não: 15 	 Abstenções: 0
PV: 	 Sim: 0 	 Não: 5 	 Abstenções: 0
PT: 	 Sim: 1 	 Não: 49 	 Abstenções: 0
PRB: 	 Sim: 0 	 Não: 8 	 Abstenções: 0
PTC: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTB: 	 Sim: 0 	 Não: 13 	 Abstenções: 0
PPS: 	 Sim: 0 	 Não: 7 	 Abstenções: 0
PMN: 	 Sim: 1 	 Não: 1 	 Abstenções: 0
PSDB: 	 Sim: 0 	 Não: 31 	 Abstenções: 0
PDT: 	 Sim: 0 	 Não: 20 	 Abstenções: 0
PRTB: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PTdoB: 	 Sim: 0 	 Não: 2 	 Abstenções: 0
PSL: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSB: 	 Sim: 1 	 Não: 15 	 Abstenções: 0
PSC: 	 Sim: 0 	 Não: 12 	 Abstenções: 0
PSD: 	 Sim: 3 	 Não: 27 	 Abstenções: 1
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 0 	 Não: 3 	 Abstenções: 0
************
[29/11/2011, 20:10] Aprovado o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 98, de 2007, em primeiro turno, ressalvados os destaques. Sim: 395; não: 21; abstenção: 04; total: 420.
PCdoB: 	 Sim: 12 	 Não: 1 	 Abstenções: 0
DEM: 	 Sim: 20 	 Não: 1 	 Abstenções: 0
PMDB: 	 Sim: 56 	 Não: 2 	 Abstenções: 2
PR: 	 Sim: 28 	 Não: 2 	 Abstenções: 0
PP: 	 Sim: 23 	 Não: 6 	 Abstenções: 1
PV: 	 Sim: 8 	 Não: 0 	 Abstenções: 0
PT: 	 Sim: 73 	 Não: 1 	 Abstenções: 0
PRB: 	 Sim: 9 	 Não: 0 	 Abstenções: 0
PTC: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTB: 	 Sim: 16 	 Não: 1 	 Abstenções: 0
PPS: 	 Sim: 9 	 Não: 0 	 Abstenções: 0
PRP: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
PSDB: 	 Sim: 37 	 Não: 0 	 Abstenções: 0
PDT: 	 Sim: 21 	 Não: 1 	 Abstenções: 0
PRTB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
PSL: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSB: 	 Sim: 22 	 Não: 2 	 Abstenções: 0
